Place,Date,Time,Value,Value,Value,Date Time
6,25/10/2018,12:36:34,64.6,26.8,27.6,25/10/2018 12:36
7,25/10/2018,12:38:34,63.3,27.2,28.1,25/10/2018 12:38
8,25/10/2018,12:40:34,62.2,27.6,28.3,25/10/2018 12:40
9,25/10/2018,12:42:34,61.5,27.8,28.6,25/10/2018 12:42
10,25/10/2018,12:44:34,61.4,28.1,28.7,25/10/2018 12:44
11,25/10/2018,12:46:34,60.5,28.3,28.8,25/10/2018 12:46
12,25/10/2018,12:48:34,59.5,28.4,28.9,25/10/2018 12:48
13,25/10/2018,12:50:34,59.3,28.6,29,25/10/2018 12:50
14,25/10/2018,12:52:34,59.3,28.7,29.1,25/10/2018 12:52
15,25/10/2018,12:54:34,59.3,28.8,29.1,25/10/2018 12:54
16,25/10/2018,12:56:34,59.2,28.9,29.2,25/10/2018 12:56
17,25/10/2018,12:58:34,58.8,29,29.2,25/10/2018 12:58
18,25/10/2018,13:00:34,58.5,29.1,29.2,25/10/2018 13:00
19,25/10/2018,13:02:34,58.5,29.1,29.2,25/10/2018 13:02
20,25/10/2018,13:04:34,58.3,29.2,29.3,25/10/2018 13:04
21,25/10/2018,13:06:34,58,29.2,29.3,25/10/2018 13:06
22,25/10/2018,13:08:34,57.8,29.3,29.3,25/10/2018 13:08
23,25/10/2018,13:10:34,57.7,29.3,29.3,25/10/2018 13:10
24,25/10/2018,13:12:34,57.6,29.3,29.3,25/10/2018 13:12
25,25/10/2018,13:14:34,57.4,29.3,29.3,25/10/2018 13:14
26,25/10/2018,13:16:34,57.4,29.4,29.3,25/10/2018 13:16
27,25/10/2018,13:18:34,57.3,29.4,29.3,25/10/2018 13:18
28,25/10/2018,13:20:34,56.9,29.4,29.3,25/10/2018 13:20
29,25/10/2018,13:22:34,56.9,29.4,29.3,25/10/2018 13:22
30,25/10/2018,13:24:34,57.1,29.5,29.3,25/10/2018 13:24
31,25/10/2018,13:26:34,57.4,29.5,29.3,25/10/2018 13:26
32,25/10/2018,13:28:34,56.8,29.5,29.3,25/10/2018 13:28
33,25/10/2018,13:30:34,56.4,29.5,29.4,25/10/2018 13:30
34,25/10/2018,13:32:34,56.4,29.6,29.4,25/10/2018 13:32
35,25/10/2018,13:34:34,56.3,29.6,29.4,25/10/2018 13:34
36,25/10/2018,13:36:34,56.4,29.6,29.4,25/10/2018 13:36
37,25/10/2018,13:38:34,55.9,29.6,29.4,25/10/2018 13:38
38,25/10/2018,13:40:34,55.9,29.6,29.4,25/10/2018 13:40
39,25/10/2018,13:42:34,55.9,29.6,29.4,25/10/2018 13:42
40,25/10/2018,13:44:34,56,29.7,29.4,25/10/2018 13:44
41,25/10/2018,13:46:34,56.1,29.7,29.4,25/10/2018 13:46
42,25/10/2018,13:48:34,56.4,29.7,29.4,25/10/2018 13:48
43,25/10/2018,13:50:34,55.9,29.7,29.4,25/10/2018 13:50
44,25/10/2018,13:52:34,56,29.7,29.5,25/10/2018 13:52
45,25/10/2018,13:54:34,56.2,29.7,29.5,25/10/2018 13:54
46,25/10/2018,13:56:34,56,29.7,29.5,25/10/2018 13:56
47,25/10/2018,13:58:34,55.4,29.7,29.5,25/10/2018 13:58
48,25/10/2018,14:00:34,55.3,29.7,29.5,25/10/2018 14:00
49,25/10/2018,14:02:34,55.2,29.7,29.5,25/10/2018 14:02
50,25/10/2018,14:04:34,55.5,29.8,29.5,25/10/2018 14:04
51,25/10/2018,14:06:34,55.6,29.8,29.5,25/10/2018 14:06
52,25/10/2018,14:08:34,55.2,29.8,29.5,25/10/2018 14:08
